"Number","SpeciesName","VenacularName","TaxonName","TaxonAuthor","TaxonType"
"1578","Cirsium tuberosum (L.) All.","Knollige Kratzdistel","Cirsium tuberosum","(L.) All.","plant"
"1579","Cirsium vulgare (Savi) Ten.","Gewoehnliche Kratzdistel","Cirsium vulgare","(Savi) Ten.","plant"
"1584","Cladium mariscus (L.) Pohl","Schneide","Cladium mariscus","(L.) Pohl","plant"
"50343","Cladopodiella fluitans (Nees) H. Buch","","","","moss"
"50344","Cladopodiella francisci (Hook.) H. Buch ex J”rg.","","","","moss"
"1585","Claytonia perfoliata Donn ex Willd.","Gewoehnliches Tellerkraut","Claytonia perfoliata","Donn ex Willd.","plant"
"1587","Clematis alpina (L.) Mill.","Alpen-Waldrebe","Clematis alpina","(L.) Mill.","plant"
"1590","Clematis recta L.","Aufrechte Waldrebe","Clematis recta","L.","plant"
"1591","Clematis vitalba L.","Gewoehnliche Waldrebe","Clematis vitalba","L.","plant"
"50345","Climacium dendroides (Hedw.) F. Weber & D. Mohr","Leitermoos","","","moss"
"1593","Clinopodium vulgare L.","Wirbeldost","Clinopodium vulgare","L.","plant"
"1597","Cnidium dubium (Schkuhr) Thell.","Sumpf-Brenndolde","Cnidium dubium","(Schkuhr) Thell.","plant"
"1599","Cochlearia anglica L.","Englisches Loeffelkraut","Cochlearia anglica","L.","plant"
"6725","Cochlearia bavarica Vogt","Bayerisches Loeffelkraut","Cochlearia bavarica","Vogt","plant"
"1600","Cochlearia danica L.","Daenisches Loeffelkraut","Cochlearia danica","L.","plant"
"1603","Cochlearia officinalis L. s. str.","Echtes Loeffelkraut","Cochlearia officinalis","L. s. str.","plant"
"1604","Cochlearia pyrenaica DC.","Pyrenaeen-Loeffelkraut","Cochlearia pyrenaica","DC.","plant"
"1607","Coeloglossum viride (L.) Hartm.","Gruene Hohlzunge","Coeloglossum viride","(L.) Hartm.","plant"
"26502","Coincya monensis (L.) Greuter & Burdet","Schnabelsenf","Coincya monensis","(L.) Greuter & Burdet","plant"
"7321","Coincya monensis subsp. cheiranthos (Vill.) Aedo & al.","Schnabelsenf","Coincya monensis subsp. cheiranthos","(Vill.) Aedo & al.","plant"
"1610","Colchicum autumnale L.","Herbst-Zeitlose","Colchicum autumnale","L.","plant"
"1614","Coleanthus subtilis (Tratt.) Seidl","Scheidengras","Coleanthus subtilis","(Tratt.) Seidl","plant"
"1615","Collomia grandiflora Lindl.","Grossblumige Leimsaat","Collomia grandiflora","Lindl.","plant"
"50346","Cololejeunea calcarea (Lib.) Schiffn.","","","","moss"
"50347","Cololejeunea rossettiana (C. Massal.) Schiffn.","","","","moss"
"1616","Colutea arborescens L.","Blasenstrauch","Colutea arborescens","L.","plant"
"1621","Conium maculatum L.","Gefleckter Schierling","Conium maculatum","L.","plant"
"50348","Conocephalum conicum (L.) Underw.","Kegelkopfmoos","","","moss"
"1622","Conopodium majus (Gouan) Loret","Franzoesische Erdkastanie","Conopodium majus","(Gouan) Loret","plant"
"1624","Conringia orientalis (L.) Dumort.","Ackerkohl","Conringia orientalis","(L.) Dumort.","plant"
"21356","Consolida hispanica (Costa) Greuter & Burdet","Spanischer Rittersporn","Consolida hispanica","(Costa) Greuter & Burdet","plant"
"1627","Consolida regalis Gray","Acker-Rittersporn","Consolida regalis","Gray","plant"
"1630","Convallaria majalis L.","Maigloeckchen","Convallaria majalis","L.","plant"
"1632","Convolvulus arvensis L.","Acker-Winde","Convolvulus arvensis","L.","plant"
"26579","Conyza albida Willd. ex Spreng.","Weisses Berufkraut","Conyza albida","Willd. ex Spreng.","plant"
"1636","Conyza bonariensis (L.) Cronquist","Suedamerikanisches Berufkraut","Conyza bonariensis","(L.) Cronquist","plant"
"1638","Conyza canadensis (L.) Cronquist","Kanadisches Berufkraut","Conyza canadensis","(L.) Cronquist","plant"
"1639","Corallorrhiza trifida Chatel.","Korallenwurz","Corallorrhiza trifida","Chatel.","plant"
"1644","Corispermum leptopterum (Asch.) Iljin","Schmalfluegeliger Wanzensame","Corispermum leptopterum","(Asch.) Iljin","plant"
"1645","Corispermum marschallii Steven","Grauer Wanzensame","Corispermum marschallii","Steven","plant"
"1649","Cornus mas L.","Kornelkirsche","Cornus mas","L.","plant"
"1650","Cornus sanguinea L.","Blutroter Hartriegel","Cornus sanguinea","L.","plant"
"1651","Cornus sericea L.","Weisser Hartriegel","Cornus sericea","L.","plant"
"1652","Cornus suecica L.","Schwedischer Hartriegel","Cornus suecica","L.","plant"
"1653","Coronilla coronata L.","Berg-Kronwicke","Coronilla coronata","L.","plant"
"1661","Coronilla vaginalis Lam.","Scheiden-Kronwicke","Coronilla vaginalis","Lam.","plant"
"1664","Coronopus squamatus (Forssk.) Asch.","Niederliegender Kraehenfuss","Coronopus squamatus","(Forssk.) Asch.","plant"
"1665","Corrigiola litoralis L.","Hirschsprung","Corrigiola litoralis","L.","plant"
"1666","Cortusa matthioli L.","Alpen-Heilgloeckchen","Cortusa matthioli","L.","plant"
