plantNameLatin;plantNameAuthor;plantType;plantTaxonName;plantNameGerman
Alchemilla exigua;Buser ex Paulin;plant;Alchemilla exigua Buser ex Paulin;Kleiner Frauenmantel
Alchemilla fallax;Buser;plant;Alchemilla fallax Buser;Täuschender Frauenmantel
Alchemilla filicaulis;Buser;plant;Alchemilla filicaulis Buser;Fadenstängeliger Frauenmantel
Alchemilla fissa agg.;;plant;Alchemilla fissa agg. ;Zerschlitzter Frauenmantel
Alchemilla fissa;Günther & Schummel;plant;Alchemilla fissa Günther & Schummel;Zerschlitzter Frauenmantel
Alchemilla flabellata;Buser;plant;Alchemilla flabellata Buser;Fächer-Frauenmantel
Alchemilla glabra;Neygenf.;plant;Alchemilla glabra Neygenf.;Kahler Frauenmantel
Alchemilla glaucescens;Wallr.;plant;Alchemilla glaucescens Wallr.;Bastard-Frauenmantel
Alchemilla glomerulans;Buser;plant;Alchemilla glomerulans Buser;Knäueliger Frauenmantel
Alchemilla grossidens;Buser;plant;Alchemilla grossidens Buser;Grobzähniger Frauenmantel
Alchemilla heteropoda;Buser;plant;Alchemilla heteropoda Buser;Verschiedenstieliger Frauenmantel
Alchemilla hoppeana;(Rchb.) Dalla Torre;plant;Alchemilla hoppeana (Rchb.) Dalla Torre;Hoppes Frauenmantel
Alchemilla hybrida agg.;;plant;Alchemilla hybrida agg. ;Bastard-Frauenmantel
Alchemilla impexa;Buser;plant;Alchemilla impexa Buser;Ungekämmter Frauenmantel
Alchemilla incisa;Buser;plant;Alchemilla incisa Buser;Eingeschnittener Frauenmantel
Alchemilla inconcinna;Buser;plant;Alchemilla inconcinna Buser;Unschöner Frauenmantel
Alchemilla kerneri;Rothm.;plant;Alchemilla kerneri Rothm.;Kerners Frauenmantel
Alchemilla lineata;Buser;plant;Alchemilla lineata Buser;Streifen-Frauenmantel
Alchemilla micans;Buser;plant;Alchemilla micans Buser;Zierlicher Frauenmantel
Alchemilla monticola;Opiz;plant;Alchemilla monticola Opiz;Bergwiesen-Frauenmantel
Alchemilla obscura;Buser;plant;Alchemilla obscura Buser;Dunkler Frauenmantel
Alchemilla obtusa;Buser;plant;Alchemilla obtusa Buser;Stumpfer Frauenmantel
Alchemilla othmarii;Buser;plant;Alchemilla othmarii Buser;Othmars Frauenmantel
Alchemilla pallens;Buser;plant;Alchemilla pallens Buser;Bleicher Frauenmantel
Alchemilla plicata;Buser;plant;Alchemilla plicata Buser;Gefalteter Frauenmantel
Alchemilla propinqua;H. Lindb. ex Juz.;plant;Alchemilla propinqua H. Lindb. ex Juz.;Verwandter Frauenmantel
Alchemilla reniformis;Buser;plant;Alchemilla reniformis Buser;Nierenblättriger Frauenmantel
Alchemilla rubristipula;Buser;plant;Alchemilla rubristipula Buser;Rotscheidiger Frauenmantel
Alchemilla sinuata;Buser;plant;Alchemilla sinuata Buser;Gebuchteter Frauenmantel
Alchemilla splendens;Christ ex Gremli;plant;Alchemilla splendens Christ ex Gremli;Schimmernder Frauenmantel
Alchemilla straminea;Buser;plant;Alchemilla straminea Buser;Strohgelber Frauenmantel
Alchemilla strigosula;Buser;plant;Alchemilla strigosula Buser;Gestriegelter Frauenmantel
Alchemilla subcrenata;Buser;plant;Alchemilla subcrenata Buser;Stumpfzähniger Frauenmantel
Alchemilla subglobosa;C. G. Westerl.;plant;Alchemilla subglobosa C. G. Westerl.;Kugeliger Frauenmantel
Alchemilla tenuis;Buser;plant;Alchemilla tenuis Buser;Dünner Frauenmantel
Alchemilla tirolensis;Buser ex Dalla Torre & Sarnth.;plant;Alchemilla tirolensis Buser ex Dalla Torre & Sarnth.;Tiroler Frauenmantel
Alchemilla trunciloba;Buser;plant;Alchemilla trunciloba Buser;Gestutztlappiger Frauenmantel
