plantNameLatin;plantNameAuthor;plantType;plantTaxonName;plantNameGerman
Persicaria lapathifolia subsp. leptoclada;(Danser) Wisskirchen;plant;Persicaria lapathifolia subsp. leptoclada (Danser) Wisskirchen;Lein-Ampferknöterich
Persicaria lapathifolia subsp. mesomorpha;(Danser) Soják;plant;Persicaria lapathifolia subsp. mesomorpha (Danser) Soják;Mittlerer Ampferknöterich
Persicaria lapathifolia subsp. pallida;(With.) Å. Löve;plant;Persicaria lapathifolia subsp. pallida (With.) Å. Löve;Acker-Ampferknöterich
Persicaria maculosa;Gray;plant;Persicaria maculosa Gray;Floh-Knöterich
Persicaria maculosa;Gray;plant;Persicaria maculosa Gray;Flohknöterich
Persicaria minor;(Huds.) Opiz;plant;Persicaria minor (Huds.) Opiz;Kleiner Knöterich
Polygonaceae;;plant;Polygonaceae;Knöterich
Petasites albus;(L.) P. Gaertn.;plant;Petasites albus (L.) P. Gaertn.;Weiße Pestwurz
Petasites hybridus;(L.) P. Gaertn., B. Mey. & Scherb.;plant;Petasites hybridus (L.) P. Gaertn., B. Mey. & Scherb.;Gewöhnliche Pestwurz
Petasites paradoxus;(Retz.) Baumg.;plant;Petasites paradoxus (Retz.) Baumg.;Alpen-Pestwurz
Petasites spurius;(Retz.) Rchb.;plant;Petasites spurius (Retz.) Rchb.;Filzige Pestwurz
Petasites;;plant;Petasites sp.;Pestwurz
Petrocallis pyrenaica;(L.) R. Br.;plant;Petrocallis pyrenaica (L.) R. Br.;Steinschmückel
Petrorhagia prolifera;(L.) P. W. Ball & Heywood;plant;Petrorhagia prolifera (L.) P. W. Ball & Heywood;Sprossende Felsennelke
Petrorhagia saxifraga;(L.) Link;plant;Petrorhagia saxifraga (L.) Link;Steinbrech-Felsennelke
Petrorhagia;;plant;Petrorhagia sp.;Felsennelke
Peucedanum alsaticum;L.;plant;Peucedanum alsaticum L.;Elsässer Haarstrang
Peucedanum carvifolia;Vill.;plant;Peucedanum carvifolia Vill.;Kümmelblättriger Haarstrang
Peucedanum cervaria;(L.) Lapeyr.;plant;Peucedanum cervaria (L.) Lapeyr.;Hirschwurz
Peucedanum officinale;L.;plant;Peucedanum officinale L.;Arznei-Haarstrang
Peucedanum oreoselinum;(L.) Moench;plant;Peucedanum oreoselinum (L.) Moench;Berg-Haarstrang
Peucedanum ostruthium;(L.) Koch;plant;Peucedanum ostruthium (L.) Koch;Meisterwurz
Peucedanum palustre;(L.) Moench;plant;Peucedanum palustre (L.) Moench;Sumpf-Haarstrang
Peucedanum;;plant;Peucedanum sp.;Haarstrang
Phalaris arundinacea;L.;plant;Phalaris arundinacea L.;Rohr-Glanzgras
Phalaris arundinacea;L.;plant;Phalaris arundinacea L.;Rohrglanzgras
Phegopteris connectilis;(Michx.) Watt;plant;Phegopteris connectilis (Michx.) Watt;Buchenfarn
Phleum alpinum;L. s. str.;plant;Phleum alpinum L. s. str.;Alpen-Lieschgras
Phleum alpinum;L. s. str.;plant;Phleum alpinum L. s. str.;Alpenlieschgras
Phleum arenarium;L.;plant;Phleum arenarium L.;Sand-Lieschgras
Phleum arenarium;L.;plant;Phleum arenarium L.;Sandlieschgras
Phleum bertolonii;DC.;plant;Phleum bertolonii DC.;Knolliges Lieschgras
Phleum hirsutum;Honck.;plant;Phleum hirsutum Honck.;Matten-Lieschgras
Phleum hirsutum;Honck.;plant;Phleum hirsutum Honck.;Mattenlieschgras
Phleum paniculatum;Huds.;plant;Phleum paniculatum Huds.;Raues Lieschgras
Phleum paniculatum;Huds.;plant;Phleum paniculatum Huds.;Rauhes Lieschgras
Phleum phleoides;(L.) H. Karst.;plant;Phleum phleoides (L.) H. Karst.;Steppen-Lieschgras
Phleum phleoides;(L.) H. Karst.;plant;Phleum phleoides (L.) H. Karst.;Steppenlieschgras
Phleum pratense;L.;plant;Phleum pratense L.;Wiesen-Lieschgras
Phleum pratense;L.;plant;Phleum pratense L.;Wiesenlieschgras
Phleum rhaeticum;(Humphries) Rauschert;plant;Phleum rhaeticum (Humphries) Rauschert;Graubündener Lieschgras
Phleum pratense agg.;;plant;Phleum pratense agg. ;Lieschgras
Phragmites australis;(Cav.) Trin. ex Steud.;plant;Phragmites australis (Cav.) Trin. ex Steud.;Schilf
Physalis alkekengi;L.;plant;Physalis alkekengi L.;Wilde Blasenkirsche
Physalis;;plant;Physalis sp.;Blasenkirsche
Physocarpus opulifolius;(L.) Maxim.;plant;Physocarpus opulifolius (L.) Maxim.;Virginische Blasenspiere
Phyteuma betonicifolium;Vill.;plant;Phyteuma betonicifolium Vill.;Ziestblättrige Teufelskralle
Phyteuma hemisphaericum;L.;plant;Phyteuma hemisphaericum L.;Halbkugelige Teufelskralle
Phyteuma nigrum;F. W. Schmidt;plant;Phyteuma nigrum F. W. Schmidt;Schwarze Teufelskralle
Phyteuma orbiculare;L. s. l.;plant;Phyteuma orbiculare L. s. l.;Kugelige Teufelskralle
Phyteuma orbiculare subsp. orbiculare;L.;plant;Phyteuma orbiculare subsp. orbiculare L.;Kugelige Teufelskralle i.e.S.
Phyteuma orbiculare subsp. tenerum;(R. Schulz) Korneck;plant;Phyteuma orbiculare subsp. tenerum (R. Schulz) Korneck;Zarte Teufelskralle
Phyteuma ovatum;Honck.;plant;Phyteuma ovatum Honck.;Eirunde Teufelskralle
Phyteuma spicatum;L.;plant;Phyteuma spicatum L.;Ährige Teufelskralle
Phyteuma spicatum subsp. occidentale;R. Schulz;plant;Phyteuma spicatum subsp. occidentale R. Schulz;Himmelblaue Teufelskralle
Phyteuma spicatum subsp. spicatum;L.;plant;Phyteuma spicatum subsp. spicatum L.;Ährige Teufelskralle i.e.S.
Phyteuma;;plant;Phyteuma sp.;Teufelskralle
Phytolacca americana;L.;plant;Phytolacca americana L.;Amerikanische Kermesbeere
Phytolacca esculenta;Van Houtte;plant;Phytolacca esculenta Van Houtte;Asiatische Kermesbeere
Phytolacca;;plant;Phytolacca sp.;Kermesbeere
Picea abies;(L.) H. Karst.;plant;Picea abies (L.) H. Karst.;Fichte
Picea abies;(L.) H. Karst.;plant;Picea abies (L.) H. Karst.;Rottanne
Picris hieracioides;L. s. l.;plant;Picris hieracioides L. s. l.;Gewöhnliches Bitterkraut
Picris hieracioides subsp. grandiflora;(Ten.) Arcang.;plant;Picris hieracioides subsp. grandiflora (Ten.) Arcang.;Großblütiges Bitterkraut
Picris hieracioides subsp. hieracioides;L.;plant;Picris hieracioides subsp. hieracioides L.;Gewöhnliches Bitterkraut i.e.S.
Picris hieracioides subsp. villarsii;(Jord.) Nyman;plant;Picris hieracioides subsp. villarsii (Jord.) Nyman;Stängelumfassendes Bitterkraut
Picris hieracioides;L. s. l.;plant;Picris hieracioides L. s. l.;Bitterkraut
Pilularia globulifera;L.;plant;Pilularia globulifera L.;Pillenfarn
Pimpinella major;(L.) Huds.;plant;Pimpinella major (L.) Huds.;Große Bibernelle
Pimpinella nigra;Mill. s. str.;plant;Pimpinella nigra Mill. s. str.;Schwarze Bibernelle
Pimpinella saxifraga;L.;plant;Pimpinella saxifraga L.;Kleine Bibernelle
Pimpinella;;plant;Pimpinella sp.;Bibernelle
Pinguicula alpina;L.;plant;Pinguicula alpina L.;Alpen-Fettkraut
Pinguicula alpina;L.;plant;Pinguicula alpina L.;Alpenfettkraut
Pinguicula vulgaris;L.;plant;Pinguicula vulgaris L.;Gewöhnliches Fettkraut
Pinguicula;;plant;Pinguicula sp.;Fettkraut
Pinus cembra;L.;plant;Pinus cembra L.;Zirbel-Kiefer
Pinus cembra;L.;plant;Pinus cembra L.;Zirbelkiefer
Pinus mugo;Turra s. str.;plant;Pinus mugo Turra s. str.;Krummholz-Kiefer
Pinus mugo;Turra s. str.;plant;Pinus mugo Turra s. str.;Krummholzkiefer
Pinus mugo;Turra s. lat.;plant;Pinus mugo Turra s. lat.;Berg-Kiefer
Pinus mugo;Turra s. lat.;plant;Pinus mugo Turra s. lat.;Bergkiefer
Pinus mugo;Turra s. lat.;plant;Pinus mugo Turra s. lat.;Latsche
Pinus mugo;Turra s. lat.;plant;Pinus mugo Turra s. lat.;Latschenkiefer
Pinus mugo;Turra s. lat.;plant;Pinus mugo Turra s. lat.;Latschen-Kiefer
Pinus mugo;Turra s. lat.;plant;Pinus mugo Turra s. lat.;Legföhre
Pinus sylvestris;L.;plant;Pinus sylvestris L.;Wald-Kiefer
Pinus sylvestris;L.;plant;Pinus sylvestris L.;Waldkiefer
Pinus x rotundata;Link;plant;Pinus x rotundata Link;Moor-Kiefer
Pinus x rotundata;Link;plant;Pinus x rotundata Link;Moorkiefer
Pinus pinea;L.;plant;Pinus pinea L.;Pinie
Pinus pinaster;Aiton;plant;Pinus pinaster Aiton;Strand-Kiefer
Pinus pinaster;Aiton;plant;Pinus pinaster Aiton;Strandkiefer
Pinus sylvestris;L.;plant;Pinus sylvestris L.;Kiefer
Pinus sylvestris;L.;plant;Pinus sylvestris L.;Föhre
Plantago alpina;L.;plant;Plantago alpina L.;Alpen-Wegerich
Plantago alpina;L.;plant;Plantago alpina L.;Alpenwegerich
Plantago atrata;Hoppe;plant;Plantago atrata Hoppe;Berg-Wegerich
Plantago atrata;Hoppe;plant;Plantago atrata Hoppe;Bergwegerich
Plantago coronopus;L.;plant;Plantago coronopus L.;Krähenfuß-Wegerich
Plantago coronopus;L.;plant;Plantago coronopus L.;Krähenfußwegerich
Plantago lanceolata;L.;plant;Plantago lanceolata L.;Spitz-Wegerich
Plantago lanceolata;L.;plant;Plantago lanceolata L.;Spitzwegerich
Plantago major;L. s. l.;plant;Plantago major L. s. l.;Breit-Wegerich
Plantago major;L. s. l.;plant;Plantago major L. s. l.;Breitwegerich
Plantago major subsp. intermedia;(Gilib.) Lange;plant;Plantago major subsp. intermedia (Gilib.) Lange;Vielsamiger Breit-Wegerich
Plantago major subsp. major;L.;plant;Plantago major subsp. major L.;Gewöhnlicher Breit-Wegerich
Plantago major subsp. winteri;(Wirtg. ex Geisenh.) W. Ludw.;plant;Plantago major subsp. winteri (Wirtg. ex Geisenh.) W. Ludw.;Salzwiesen-Wegerich
Plantago major subsp. winteri;(Wirtg. ex Geisenh.) W. Ludw.;plant;Plantago major subsp. winteri (Wirtg. ex Geisenh.) W. Ludw.;Salzwiesenwegerich
Plantago maritima agg.;;plant;Plantago maritima L. agg.;Strand-Wegerich
Plantago maritima agg.;;plant;Plantago maritima L. agg.;Strandwegerich
Plantago maritima subsp. maritima;L.;plant;Plantago maritima subsp. maritima L.;Strand-Wegerich
Plantago maritima subsp. maritima;L.;plant;Plantago maritima subsp. maritima L.;Strandwegerich
Plantago maritima subsp. serpentina;(All.) Arcang;plant;Plantago maritima subsp. serpentina (All.) Arcang;Serpentin-Wegerich
Plantago maritima subsp. serpentina;(All.) Arcang;plant;Plantago maritima subsp. serpentina (All.) Arcang;Serpentinwegerich
Plantago media;L.;plant;Plantago media L.;Mittlerer Wegerich
Plantago;;plant;Plantago sp.;Wegerich
Platanthera bifolia;(L.) Rich.;plant;Platanthera bifolia (L.) Rich.;Weiße Waldhyazinthe
Platanthera bifolia subsp. bifolia;(L.) Rich.;plant;Platanthera bifolia subsp. bifolia (L.) Rich.;Weiße Waldhyazinthe i.e.S.
Platanthera bifolia subsp. graciliflora;Bisse;plant;Platanthera bifolia subsp. graciliflora Bisse;Zartblütige Waldhyazinthe
Platanthera chlorantha;(Custer) Rchb.;plant;Platanthera chlorantha (Custer) Rchb.;Berg-Waldhyazinthe
Platanthera;;plant;Platanthera sp.;Waldhyazinthe
Pleurospermum austriacum;(L.) Hoffm.;plant;Pleurospermum austriacum (L.) Hoffm.;Österreichischer Rippensame
Poa alpina;L.;plant;Poa alpina L.;Alpen-Rispengras
Poa alpina;L.;plant;Poa alpina L.;Alpenrispengras
Poa angustifolia;L.;plant;Poa angustifolia L.;Schmalblättriges Wiesen-Rispengras
Poa annua;L.;plant;Poa annua L.;Einjähriges Rispengras
Poa badensis;Haenke ex Willd.;plant;Poa badensis Haenke ex Willd.;Badener Rispengras
Poa bulbosa;L.;plant;Poa bulbosa L.;Knolliges Rispengras
Poa cenisia;All.;plant;Poa cenisia All.;Mont-Cenis-Rispengras
Poa chaixii;Vill.;plant;Poa chaixii Vill.;Wald-Rispengras
Poa chaixii;Vill.;plant;Poa chaixii Vill.;Waldrispengras
Poa compressa;L.;plant;Poa compressa L.;Zusammengedrücktes Rispengras
Poa humilis;Ehrh. ex Hoffm.;plant;Poa humilis Ehrh. ex Hoffm.;Bläuliches Wiesen-Rispengras
Poa hybrida;Gaudin;plant;Poa hybrida Gaudin;Bastard-Rispengras
Poa hybrida;Gaudin;plant;Poa hybrida Gaudin;Bastardrispengras
Poa minor;Gaudin;plant;Poa minor Gaudin;Kleines Rispengras
Poa nemoralis;L.;plant;Poa nemoralis L.;Hain-Rispengras
Poa nemoralis;L.;plant;Poa nemoralis L.;Hainrispengras
Poa nemoralis;L.;plant;Poa nemoralis L.;Hainrispe
Poa palustris;L.;plant;Poa palustris L.;Sumpf-Rispengras
Poa palustris;L.;plant;Poa palustris L.;Sumpfrispengras
Poa pratensis agg.;;plant;Poa pratensis agg. ;Wiesen-Rispengras
Poa pratensis agg.;;plant;Poa pratensis agg. ;Wiesenrispengras
Poa pratensis agg.;;plant;Poa pratensis agg. ;Wiesenrispe
Poa remota;Forselles;plant;Poa remota Forselles;Lockerblütiges Rispengras
Poa supina;Schrad.;plant;Poa supina Schrad.;Läger-Rispengras
Poa supina;Schrad.;plant;Poa supina Schrad.;Lägerrispengras
Poa trivialis;L. s. l.;plant;Poa trivialis L. s. l.;Gewöhnliches Rispengras
Poa trivialis;L. s. l.;plant;Poa trivialis L. s. l.;Gemeine Rispe
Poa;;plant;Poa sp.;Rispengras
Poa;;plant;Poa sp.;Rispengräser
Poaceae;;plant;Poaceae;Süßgräser
Polemonium caeruleum;L.;plant;Polemonium caeruleum L.;Blaue Himmelsleiter
Polemonium caeruleum;L.;plant;Polemonium caeruleum L.;Himmelsleiter
Polycarpon tetraphyllum;(L.) L.;plant;Polycarpon tetraphyllum (L.) L.;Vierblättriges Nagelkraut
Polycarpon tetraphyllum;(L.) L.;plant;Polycarpon tetraphyllum (L.) L.;Nagelkraut
Polycnemum arvense;L.;plant;Polycnemum arvense L.;Acker-Knorpelkraut
Polycnemum arvense;L.;plant;Polycnemum arvense L.;Ackerknorpelkraut
Polycnemum majus;A. Braun;plant;Polycnemum majus A. Braun;Großes Knorpelkraut
Polycnemum verrucosum;Láng;plant;Polycnemum verrucosum Láng;Warziges Knorpelkraut
Polycnemum;;plant;Polycnemum sp.;Knorpelkraut
Polygala alpestris;Rchb.;plant;Polygala alpestris Rchb.;Voralpen-Kreuzblümchen
Polygala amara;L.;plant;Polygala amara L.;Bitteres Kreuzblümchen
Polygala amara subsp. brachyptera;(Chodat) Hayek;plant;Polygala amara subsp. brachyptera (Chodat) Hayek;Bitteres Kreuzblümchen
Polygala amarella;Crantz;plant;Polygala amarella Crantz;Sumpf-Kreuzblümchen
Polygala calcarea;F. W. Schultz;plant;Polygala calcarea F. W. Schultz;Kalk-Kreuzblümchen
Polygala chamaebuxus;L.;plant;Polygala chamaebuxus L.;Buchsblättriges Kreuzblümchen
Polygala comosa;Schkuhr;plant;Polygala comosa Schkuhr;Schopfiges Kreuzblümchen
Polygala serpyllifolia;Host;plant;Polygala serpyllifolia Host;Quendelblättriges Kreuzblümchen
Polygala vulgaris;L. s. l.;plant;Polygala vulgaris L. s. l.;Gewöhnliches Kreuzblümchen
Polygala vulgaris subsp. oxyptera;(Rchb.) Schübl. & Martens;plant;Polygala vulgaris subsp. oxyptera (Rchb.) Schübl. & Martens;Spitzflügeliges Kreuzblümchen
Polygala vulgaris subsp. vulgaris;L.;plant;Polygala vulgaris subsp. vulgaris L.;Gewöhnliches Kreuzblümchen i.e.S.
Polygala;;plant;Polygala sp.;Kreuzblume
Polygonatum multiflorum;(L.) All.;plant;Polygonatum multiflorum (L.) All.;Vielblütige Weißwurz
Polygonatum odoratum;(Mill.) Druce;plant;Polygonatum odoratum (Mill.) Druce;Wohlriechende Weißwurz
Polygonatum verticillatum;(L.) All.;plant;Polygonatum verticillatum (L.) All.;Quirlblättrige Weißwurz
Polygonatum;;plant;Polygonatum sp.;Weißwurz
Polygonum arenastrum;Boreau s. l.;plant;Polygonum arenastrum Boreau s. l.;Trittrasen-Knöterich
Polygonum arenastrum subsp. arenastrum;Boreau;plant;Polygonum arenastrum subsp. arenastrum Boreau;Gewöhnlicher Trittrasen-Knöterich
Polygonum arenastrum subsp. calcatum;(Lindm.) Wisskirchen;plant;Polygonum arenastrum subsp. calcatum (Lindm.) Wisskirchen;Niedriger Trittrasen-Knöterich
Polygonum arenastrum subsp. microspermum;(Jord.) H. Scholz;plant;Polygonum arenastrum subsp. microspermum (Jord.) H. Scholz;Kleinfrüchtiger Trittrasen-Knöterich
Polygonum aviculare agg.;;plant;Polygonum aviculare agg. ;Vogel-Knöterich
Polygonum aviculare;L. (s. l.);plant;Polygonum aviculare L. (s. l.);Vogel-Knöterich
Polygonum aviculare;L. (s. l.);plant;Polygonum aviculare L. (s. l.);Vogelknöterich
Polygonum aviculare subsp. rurivagum;(Jord. ex Boreau) Berher;plant;Polygonum aviculare subsp. rurivagum (Jord. ex Boreau) Berher;Unbeständiger Vogel-Knöterich
Polygonum oxyspermum;Mey. & Bunge ex Ledeb. s. l.;plant;Polygonum oxyspermum Mey. & Bunge ex Ledeb. s. l.;Strand-Knöterich
Polygonum oxyspermum;Mey. & Bunge ex Ledeb. s. l.;plant;Polygonum oxyspermum Mey. & Bunge ex Ledeb. s. l.;Strandknöterich
Polygonum oxyspermum subsp. oxyspermum;Mey. & Bunge ex Ledeb.;plant;Polygonum oxyspermum subsp. oxyspermum Mey. & Bunge ex Ledeb.;Hellbrauner Strand-Knöterich
Polygonum oxyspermum subsp. raii;(Bab.) Webb & Chater;plant;Polygonum oxyspermum subsp. raii (Bab.) Webb & Chater;Dunkelbrauner Strand-Knöterich
Polygonaceae;;plant;Polygonaceae;Knöterich
Polypodium interjectum;Shivas;plant;Polypodium interjectum Shivas;Gesägter Tüpfelfarn
Polypodium vulgare;L.;plant;Polypodium vulgare L.;Gewöhnlicher Tüpfelfarn
Polypodium;;plant;Polypodium sp.;Tüpfelfarn
Polystichum aculeatum;(L.) Roth;plant;Polystichum aculeatum (L.) Roth;Gelappter Schildfarn
Polystichum braunii;(Spenn.) Fée;plant;Polystichum braunii (Spenn.) Fée;Brauns Schildfarn
Polystichum lonchitis;(L.) Roth;plant;Polystichum lonchitis (L.) Roth;Lanzen-Schildfarn
Polystichum setiferum;(Forssk.) T. Moore ex Woyn.;plant;Polystichum setiferum (Forssk.) T. Moore ex Woyn.;Borstiger Schildfarn
Polystichum;;plant;Polystichum sp.;Schildfarn
Populus alba;L.;plant;Populus alba L.;Silber-Pappel
Populus alba;L.;plant;Populus alba L.;Silberpappel
Populus nigra;L.;plant;Populus nigra L.;Schwarz-Pappel
Populus nigra;L.;plant;Populus nigra L.;Schwarzpappel
Populus tremula;L.;plant;Populus tremula L.;Zitter-Pappel
Populus tremula;L.;plant;Populus tremula L.;Zitterpappel
Populus x canadensis;Moench;plant;Populus x canadensis Moench;Bastard-Pappel
Populus x canadensis;Moench;plant;Populus x canadensis Moench;Hypridpappel
Populus x canescens;(Aiton) Sm.;plant;Populus x canescens (Aiton) Sm.;Grau-Pappel
Populus x canescens;(Aiton) Sm.;plant;Populus x canescens (Aiton) Sm.;Graupappel
Populus;;plant;Populus sp.;Pappel
Portulaca oleracea;L.;plant;Portulaca oleracea L.;Portulak
Portulaca oleracea subsp. oleracea;L.;plant;Portulaca oleracea subsp. oleracea L.;Wilder Portulak
Portulaca oleracea subsp. sativa;;plant;Portulaca oleracea subsp. sativa;Gemüse-Portulak
Potamogeton acutifolius;Link;plant;Potamogeton acutifolius Link;Spitzblättriges Laichkraut
Potamogeton alpinus;Balb.;plant;Potamogeton alpinus Balb.;Alpen-Laichkraut
Potamogeton berchtoldii;Fieber;plant;Potamogeton berchtoldii Fieber;Berchtolds Zwerg-Laichkraut
Potamogeton coloratus;Hornem.;plant;Potamogeton coloratus Hornem.;Gefärbtes Laichkraut
Potamogeton compressus;L.;plant;Potamogeton compressus L.;Flachstängeliges Laichkraut
Potamogeton crispus;L.;plant;Potamogeton crispus L.;Krauses Laichkraut
Potamogeton filiformis;Pers.;plant;Potamogeton filiformis Pers.;Faden-Laichkraut
Potamogeton friesii;Rupr.;plant;Potamogeton friesii Rupr.;Stachelspitziges Laichkraut
Potamogeton gramineus;L.;plant;Potamogeton gramineus L.;Grasartiges Laichkraut
Potamogeton helveticus;(G. Fisch) W. Koch;plant;Potamogeton helveticus (G. Fisch) W. Koch;Schweizer Laichkraut
Potamogeton lucens;L.;plant;Potamogeton lucens L.;Glänzendes Laichkraut
Potamogeton natans;L.;plant;Potamogeton natans L.;Schwimmendes Laichkraut
Potamogeton nodosus;Poir.;plant;Potamogeton nodosus Poir.;Flutendes Laichkraut
Potamogeton obtusifolius;Mert. & W. D. J. Koch;plant;Potamogeton obtusifolius Mert. & W. D. J. Koch;Stumpfblättriges Laichkraut
Potamogeton pectinatus;L. sensu s. str.;plant;Potamogeton pectinatus L. sensu s. str.;Kamm-Laichkraut
Potamogeton perfoliatus;L.;plant;Potamogeton perfoliatus L.;Durchwachsenes Laichkraut
Potamogeton polygonifolius;Pourr.;plant;Potamogeton polygonifolius Pourr.;Knöterich-Laichkraut
Potamogeton praelongus;Wulfen;plant;Potamogeton praelongus Wulfen;Langblättriges Laichkraut
Potamogeton pusillus;L.;plant;Potamogeton pusillus L.;Gewöhnliches Zwerglaichkraut
Potamogeton rutilus;Wolfg.;plant;Potamogeton rutilus Wolfg.;Rötliches Laichkraut
Potamogeton trichoides;Cham. & Schltdl.;plant;Potamogeton trichoides Cham. & Schltdl.;Haarförmiges Laichkraut
Potamogeton x angustifolius;J. Presl;plant;Potamogeton x angustifolius J. Presl;Schmalblättriges Laichkraut
Potamogeton x nitens;Weber;plant;Potamogeton x nitens Weber;Schimmerndes Laichkraut
Potamogeton;;plant;Potamogeton sp.;Laichkraut
Potentilla alba;L.;plant;Potentilla alba L.;Weißes Fingerkraut
Potentilla anglica;Laichard.;plant;Potentilla anglica Laichard.;Niederliegendes Fingerkraut
Potentilla anserina;L.;plant;Potentilla anserina L.;Gänse-Fingerkraut
Potentilla anserina;L.;plant;Potentilla anserina L.;Gänsefingerkraut
Potentilla argentea agg.;;plant;Potentilla argentea agg. ;Silber-Fingerkraut
Potentilla argentea agg.;;plant;Potentilla argentea agg. ;Fingerkraut
Potentilla aurea;L.;plant;Potentilla aurea L.;Gold-Fingerkraut
Potentilla brauneana;Hoppe ex Nestl.;plant;Potentilla brauneana Hoppe ex Nestl.;Zwerg-Fingerkraut
Potentilla caulescens;L.;plant;Potentilla caulescens L.;Stängel-Fingerkraut
Potentilla clusiana;Jacq.;plant;Potentilla clusiana Jacq.;Tauern-Fingerkraut
Potentilla collina agg.;;plant;Potentilla collina agg. ;Hügel-Fingerkraut
Potentilla collina;Wibel;plant;Potentilla collina Wibel;Gewöhnliches Hügel-Fingerkraut
Potentilla crantzii;(Crantz) Beck ex Fritsch;plant;Potentilla crantzii (Crantz) Beck ex Fritsch;Zottiges Fingerkraut
Potentilla erecta;(L.) Raeusch.;plant;Potentilla erecta (L.) Raeusch.;Blutwurz
Potentilla heptaphylla;L.;plant;Potentilla heptaphylla L.;Rötliches Fingerkraut
Potentilla incana;P. Gaertn., B. Mey. & Scherb.;plant;Potentilla incana P. Gaertn., B. Mey. & Scherb.;Sand-Fingerkraut
Potentilla inclinata;Vill.;plant;Potentilla inclinata Vill.;Graues Fingerkraut
Potentilla intermedia;L.;plant;Potentilla intermedia L.;Mittleres Fingerkraut
Potentilla leucopolitana;P. J. Müll.;plant;Potentilla leucopolitana P. J. Müll.;Weißenburger Hügel-Fingerkraut
Potentilla micrantha;Ramond ex DC.;plant;Potentilla micrantha Ramond ex DC.;Kleinblütiges Fingerkraut
Potentilla norvegica;L.;plant;Potentilla norvegica L.;Norwegisches Fingerkraut
Potentilla palustris;(L.) Scop.;plant;Potentilla palustris (L.) Scop.;Sumpfblutauge
Potentilla praecox;F. W. Schultz;plant;Potentilla praecox F. W. Schultz;Frühes Hügel-Fingerkraut
Potentilla pusilla;Host;plant;Potentilla pusilla Host;Sternhaariges Frühlings-Fingerkraut
Potentilla recta;L.;plant;Potentilla recta L.;Hohes Fingerkraut
Potentilla reptans;L.;plant;Potentilla reptans L.;Kriechendes Fingerkraut
Potentilla rhenana;Zimmeter;plant;Potentilla rhenana Zimmeter;Rheinisches Hügel-Fingerkraut
Potentilla rupestris;L.;plant;Potentilla rupestris L.;Felsen-Fingerkraut
Potentilla sordida;Aspegren;plant;Potentilla sordida Aspegren;Schmutziges Hügel-Fingerkraut
Potentilla sterilis;(L.) Garcke;plant;Potentilla sterilis (L.) Garcke;Erdbeer-Fingerkraut
Potentilla supina;L.;plant;Potentilla supina L.;Niedriges Fingerkraut
Potentilla tabernaemontani;Asch.;plant;Potentilla tabernaemontani Asch.;Gewöhnliches Frühlings-Fingerkraut
Potentilla thuringiaca;Bernh.;plant;Potentilla thuringiaca Bernh.;Kleinblütiges Fingerkraut
Potentilla thyrsiflora;Zimmeter;plant;Potentilla thyrsiflora Zimmeter;Reichblütiges Hügel-Fingerkraut
Potentilla;;plant;Potentilla sp.;Fingerkraut
Prenanthes purpurea;L.;plant;Prenanthes purpurea L.;Hasenlattich
Primula auricula;L.;plant;Primula auricula L.;Alpen-Aurikel
Primula clusiana;Tausch;plant;Primula clusiana Tausch;Clusius' Schlüsselblume
Primula elatior;(L.) Hill;plant;Primula elatior (L.) Hill;Hohe Schlüsselblume
Primula farinosa;L.;plant;Primula farinosa L.;Mehlige Schlüsselblume
Primula hirsuta;All.;plant;Primula hirsuta All.;Behaarte Schlüsselblume
Primula minima;L.;plant;Primula minima L.;Zwerg-Schlüsselblume
Primula veris;L.;plant;Primula veris L.;Wiesen-Schlüsselblume
Primula vulgaris;Huds.;plant;Primula vulgaris Huds.;Stängellose Schlüsselblume
Primula x pubescens;Jacq.;plant;Primula x pubescens Jacq.;Bastard-Aurikel
Primula;;plant;Primula sp.;Schlüsselblume
Primula;;plant;Primula sp.;Aurikel
Primula;;plant;Primula sp.;Primel
Pritzelago alpina;(L.) Kuntze;plant;Pritzelago alpina (L.) Kuntze;Alpen-Gemskresse
Prunella grandiflora;(L.) Scholler;plant;Prunella grandiflora (L.) Scholler;Großblütige Braunelle
Prunella laciniata;(L.) L.;plant;Prunella laciniata (L.) L.;Weiße Braunelle
Prunella vulgaris;L.;plant;Prunella vulgaris L.;Kleine Braunelle
Prunella;;plant;Prunella sp.;Braunelle
Prunus avium;L.;plant;Prunus avium L.;Vogel-Kirsche
Prunus avium;L.;plant;Prunus avium L.;Vogelkirsche
Prunus avium;L.;plant;Prunus avium L.;Süßkirsche
Prunus avium;L.;plant;Prunus avium L.;Kirsche
Prunus cerasus;L.;plant;Prunus cerasus L.;Sauerkirsche
Prunus cerasus;L.;plant;Prunus cerasus L.;Strauch-Weichsel
Prunus domestica;L. s. l.;plant;Prunus domestica L. s. l.;Pflaume
Prunus domestica subsp. domestica;L.;plant;Prunus domestica subsp. domestica L.;Gewöhnliche Pflaume
Prunus domestica subsp. insititia;(L.) Bonnier & Layens;plant;Prunus domestica subsp. insititia (L.) Bonnier & Layens;Hafer-Pflaume
Prunus domestica subsp. syriaca;(Borkh.) Janch. ex Mansf.;plant;Prunus domestica subsp. syriaca (Borkh.) Janch. ex Mansf.;Mirabelle
Prunus fruticosa;Pall.;plant;Prunus fruticosa Pall.;Zwerg-Kirsche
